site_ID,pressure_zone_name,pressure_zone_elevation,connections_count,location_description,lat,lng,frequency_sampled
67 SYS,Bernardo Oaks (51) ,680,2126,Pomerado Rd & Grandee Place,33.0117277777778,-117.060122222222,Weekly
282 SYS,Bernardo Oaks(41),680,1824,18402 West Bernardo Dr. Stantion at a community Park,33.0176472222222,-117.073761111111,Weekly
284 SYS,OTAY MESA,680,1404,Ocean View Hills Pkwy and Sea Drift Dr.,32.5771194444444,-117.023036111111,Weekly
281 SYS,Monte Verde,685,652,6831 Monte Verde Dr,32.8123055555556,-117.048147222222,Weekly
210 SYS,San Carlos Reduced,692,255,Across from 6619 Cibola Rd (Infront of a Park),32.8067694444444,-117.054377777778,Weekly
177 SYS,Miramar ,712,5834,12350 Black Mountain Rd (Next the Rec Building),32.9422861111111,-117.130088888889,Weekly
288 SYS,Miramar ,712,7485,Greenberg Way & Ganso Corte @ backflow preventer,32.9690388888889,-117.13665,Weekly
294 SYS,Miramar ,712,14261,12195 Branicole St,32.9400722222222,-117.116244444444,Weekly
295 SYS,Miramar ,712,4830,11305 Affinity Ct,32.9225888888889,-117.112091666667,Weekly
315A SYS,Soledad Muirlands,725,2020, Across from 5494 Soledad Rd ,32.8190361111111,-117.240894444444,Weekly
327 SYS,North Village,730,205,15625 New Park Terrace,33.0191555555556,-117.145422222222,Weekly
268 SYS,Mercy High,750,53,9604 Babauta Rd,32.9379638888889,-117.120944444444,Monthly
77A SYS,Tierrasnanta,752,1485,Palabra Circle,32.8241722222222,-117.079616666667,Weekly
182 SYS,Tierrasnanta,752,1485,6475 Antigua,32.8367277777778,-117.090408333333,Weekly
289 SYS,Rancho Bernardo (144),793,3394,Escala Dr & Camberwell Lane ,33.0451805555556,-117.063819444444,Weekly
231 SYS,Rancho Bernardo (229) ,793,4557,Salmon River & Fairgrove Ln @ the Library,32.9578361111111,-117.121861111111,Weekly
237 SYS,Bernardo Trails,800,1035,17910 Avenida Cordillera,33.04235,-117.051444444444,Weekly
184 SYS,South Creek,815,538,12170 Springhurst Dr,32.9394611111111,-117.07415,Weekly
152A SYS,San Carlos,849,6365,8571 Highwood Drive,32.8086305555556,-117.013772222222,Weekly
212 SYS,San Carlos,849,6365,Rondel CT & Tuxedo Rd; @ Public Park,32.8090722222222,-117.046005555556,Weekly
63A SYS,Scripps Valley,850,756,9930 Aviary Drive,32.9032166666667,-117.100902777778,Weekly
336 SYS,Oaks North,865,21,17696 Montero Rd,33.0253194444444,-117.052713888889,Monthly
307 SYS,Scripps Eastview,890,179,11455 East Ridge Place,32.9267444444444,-117.090625,Weekly
185 SYS,Scripps Ranch North,890,1850,11198 Ivy Hill Dr,32.9361277777778,-117.090638888889,Weekly
